_id,Anio_lectivo,Zona,Provincia,Cod_Provincia,Canton,Cod_Canton,Parroquia,Cod_Parroquia,Nombre_Institucion,AMIE,Tipo_Educacion,Sostenimiento,Area,Regimen_Escolar,Jurisdiccion,Docentes_Femenino,Docentes_Masculino,Total_Docentes,Estudiantes_Femenino,Estudiantes_Masculino,Total_Estudiantes,Ecuatoriana,Colombiana,Venezolana,Peruana,Otros_Paises_de_America,Otros_Continentes
67900d906dbcb30ffd00744a,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,VELASCO IBARRA (CAB. EL EMPALME),90850,27 DE ABRIL,09H03759,Ordinario,Municipal,Urbana,Costa,Intercultural,0,0,0,16,18,34,34,0,0,0,0,0
67900d906dbcb30ffd007457,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,VELASCO IBARRA (CAB. EL EMPALME),90850,ELOY ALFARO,09H03773,Ordinario,Municipal,Urbana,Costa,Intercultural,0,0,0,10,7,17,17,0,0,0,0,0
67900d906dbcb30ffd007463,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,VELASCO IBARRA (CAB. EL EMPALME),90850,TANIA ALAVA BRAVO,09H03786,Educación Especial,Municipal,Urbana,Costa,Intercultural,8,2,10,15,35,50,50,0,0,0,0,0
67900d906dbcb30ffd00747b,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,VELASCO IBARRA (CAB. EL EMPALME),90850,PRIMERO DE JUNIO,09H03816,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,3,11,14,14,0,0,0,0,0
67900d906dbcb30ffd00748e,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,VELASCO IBARRA (CAB. EL EMPALME),90850,JUAN MONTALVO,09H03843,Ordinario,Municipal,Urbana,Costa,Intercultural,0,1,1,10,19,29,29,0,0,0,0,0
67900d906dbcb30ffd0074c9,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,GUAYAS (PUEBLO NUEVO),90851,ELOY ALFARO,09H03913,Ordinario,Municipal,Rural,Costa,Intercultural,0,1,1,9,16,25,25,0,0,0,0,0
67900d906dbcb30ffd0074d4,2011-2012 Inicio,Zona 5,GUAYAS,9,EL EMPALME,908,GUAYAS (PUEBLO NUEVO),90851,ISIDORA PARRA,09H03927,Ordinario,Municipal,Rural,Costa,Intercultural,0,0,0,5,11,16,16,0,0,0,0,0
67900d906dbcb30ffd007545,2011-2012 Inicio,Zona 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,EL PROGRESO,09H04062,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,20,16,36,36,0,0,0,0,0
67900d906dbcb30ffd00754e,2011-2012 Inicio,Zona 5,GUAYAS,9,EL TRIUNFO,909,EL TRIUNFO,90950,NUEVA JERUSALEN,09H04073,Ordinario,Municipal,Urbana,Costa,Intercultural,0,0,0,6,6,12,12,0,0,0,0,0
67900d906dbcb30ffd007553,2011-2012 Inicio,ZND,Zona No Delimitada,90,ZND Cañar 0 Guayas,9004,EL PIEDRERO,900451,JAIME ROLDOS AGUILERA,09H04078,Popular Permanente,Municipal,Rural,Costa,Intercultural,2,0,2,7,16,23,23,0,0,0,0,0
67900d906dbcb30ffd00761e,2011-2012 Inicio,Zona 5,GUAYAS,9,NARANJAL,911,NARANJAL,91150,RUPERTO ESPINOZA RIVAS,09H04305,Ordinario,Municipal,Urbana,Costa,Intercultural,2,0,2,38,36,74,74,0,0,0,0,0
67900d906dbcb30ffd007644,2011-2012 Inicio,Zona 5,GUAYAS,9,NARANJAL,911,SANTA ROSA DE FLANDES,91153,ANA BELGICA ESPINOZA DE OCHOA,09H04343,Ordinario,Municipal,Rural,Costa,Intercultural,3,0,3,22,39,61,61,0,0,0,0,0
67900d906dbcb30ffd00765b,2011-2012 Inicio,Zona 5,GUAYAS,9,NARANJITO,912,NARANJITO,91250,LUIS ENRIQUE PEREZ VILLAVICENCIO,09H04366,Ordinario,Municipal,Urbana,Costa,Intercultural,3,1,4,21,26,47,47,0,0,0,0,0
67900d906dbcb30ffd007667,2011-2012 Inicio,Zona 5,GUAYAS,9,NARANJITO,912,NARANJITO,91250,DOLORES MURILLO DE VASQUEZ,09H04382,Ordinario,Municipal,Urbana,Costa,Intercultural,8,1,9,69,64,133,133,0,0,0,0,0
67900d906dbcb30ffd00766f,2011-2012 Inicio,Zona 5,GUAYAS,9,NARANJITO,912,NARANJITO,91250,CARLOS VASQUEZ MURILLO,09H04392,Ordinario,Municipal,Urbana,Costa,Intercultural,10,0,10,110,119,229,228,1,0,0,0,0
67900d906dbcb30ffd0076b2,2011-2012 Inicio,Zona 5,GUAYAS,9,PALESTINA,913,PALESTINA,91350,SONRISITAS,09H04470,Ordinario,Municipal,Urbana,Costa,Intercultural,1,0,1,7,8,15,14,1,0,0,0,0
